employeur_or,employeur,commune,lat,long,departement,pays,type_employ,intitule_or,intitule,type,date,annee
société SCRIPTO,La société SCRIPTO,NA,,,NA,France,Entreprise,un/une archiviste,un/une archiviste,Privé,06/06/2007,2007
groupe SERDA,Le groupe SERDA,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,un consultant confirmé h/f,un consultant confirmé ,Privé,06/06/2007,2007
Les archives départementales de Drôme,archives départementales de la Drôme,Valence,44.9325,4.8908333333333,Drôme,France,Conseil départemental,un chargé(e) des Interventions dans les services administratifs,un chargé des Interventions dans les services administratifs,Public,16/03/2010,2010
Les Archives lassalliennes,Archives lassalliennes,Lyon,45.758888888889,4.8413888888889,Rhône,France,Entreprise,Un/une responsable Du service (H/F),Un/une responsable Du service,Privé,31/05/2007,2007
Les archives départementales de Drôme,archives départementales de la Drôme,Valence,44.9325,4.8908333333333,Drôme,France,Conseil départemental,un(e) chargé(e) du préarchivage des services départementaux,un chargé du préarchivage des services départementaux,Public,19/02/2007,2007
société LIFING,La société LIFING,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,des responsables de techniques d’archivage,des responsables de techniques d’archivage,Privé,31/05/2007,2007
"Cabinet d’avocats ""Sullivan & Cromwell LLP’","Cabinet d’avocats ""Sullivan & Cromwell LLP’",NA,,,NA,France,Entreprise,un archiviste (H/F),un archiviste,Privé,14/05/2007,2007
Les Archives départementales de Haute-Garonne,archives départementales de la Haute-Garonne,Toulouse,43.604444444444,1.4438888888889,Haute-Garonne,France,Conseil départemental,un(e) assistant(e) de conservation du patrimoine et des bibliothèques,un assistant de conservation du patrimoine et des bibliothèques,Public,16/10/2007,2007
RATP,Régie autonome des transports parisiens,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,son/sa responsable Du records management,son/sa responsable Du records management,Privé,14/05/2007,2007
Les archives départementales de Savoie,archives départementales de la Savoie,Chambéry,45.566388888889,5.9208333333333,Savoie,France,Conseil départemental,un responsable Des fonds et collections (h/f),un responsable Des fonds et collections,Public,17/10/2016,2016
Les Archives départementales de Somme,archives départementales de la Somme,Amiens,49.891944444444,2.2977777777778,Somme,France,Conseil départemental,un attaché de conservation du patrimoine - spécialité Archives- h/f,un attaché de conservation du patrimoine - spécialité Archives- ,Public,08/03/2007,2007
Les archives départementales de Maine-et-Loire,archives départementales de Maine-et-Loire,Angers,47.472777777778,-0.55555555555556,Maine-et-Loire,France,Conseil départemental,un archiviste responsable Des archives communales,un archiviste responsable Des archives communales,Public,14/02/2007,2007
